"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Adventure","Family","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","History","Documentary","Music","Animation","Biography","Musical","Sport","Western","War"
2002,6.3,12000000,77081642,75781642,1,80195161.5,6.03756131775242,22391450,1.72241923076923,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.6,18000000,65842412,65070412,1,77442971.6341463,3.50178599316296,33157697.3333333,3.0486297991453,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6.5,50000000,42598498,26599248,-1,109288087.133333,1.79812894464763,0,1,25852508,0.369321542857143,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,4.1,70000000,35417162,5946136,-1,20536344.75,0.9553634475,0,1,22433915,0.560847875,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2005,8.3,150000000,373298774,205343774,1,41930901.4375,2.31010394796442,82145379,0.82145379,76672797.5,5.20733676304348,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2005,5.6,75000000,94944017,55849401,-1,74223431.9285714,3.20129065679899,0,1,110030285,2.07715881111111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,6.4,20000000,30894247,11175164,-1,147186955.117647,7.11538072698275,0,1,72993444,3.6496722,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5.2,9000000,3134509,3134509,-1,8165574.75,1.09023228125,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5.4,25000000,38351350,36351350,-1,104072038.833333,2.59966590170401,0,1,62192232,3.455124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,6.3,15000000,33508485,32647042,1,5298078.4,0.710615568,0,1,163838217,2.97887667272727,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
